X,Y,Lote,Rto,N,Z
416582.756040673,6304652.28939575,LP08,9995.106,440,2
416584.783596172,6304652.29577917,LP08,10000.638,440,2
416586.829752212,6304652.30232244,LP08,10361.915,440,2
416588.885112984,6304652.32003267,LP08,10096.489,440,2
416590.940664814,6304652.31556796,LP08,9575.319,440,2
416592.977520551,6304652.3220298,LP08,10218.936,440,2
416595.032881301,6304652.33973872,LP08,9864.574,440,2
416597.051136471,6304652.34603944,LP08,10294.149,440,2
416599.106497209,6304652.3637475,LP08,10354.681,440,2
416601.143352912,6304652.37020762,LP08,10685.426,440,2
416603.16151254,6304652.38759433,LP08,10742.021,440,2
416605.207572986,6304652.40522097,LP08,10478.83,440,2
416607.253824452,6304652.40067267,LP08,10354.681,440,2
416609.327881218,6304652.40745154,LP08,10597.128,440,2
416611.411238248,6304652.41431008,LP08,10271.915,440,2
416613.485294995,6304652.42108807,LP08,10516.277,440,2
416615.559351732,6304652.4278656,LP08,9859.787,440,2
416617.633503959,6304652.42355544,LP08,10309.149,440,2
416619.707465176,6304652.44141934,LP08,9821.915,440,2
