X,Y,ZM,TRATA,BLOQUE,Rto
383470.2689,6285444.535,BP,TESTIGO,1,8119.1325
383474.4684,6285444.595,BP,TESTIGO,1,8219.4375
383478.668,6285444.654,BP,TESTIGO,1,7458.234
383482.8676,6285444.713,BP,TESTIGO,1,8239.4985
383487.0672,6285444.773,BP,TESTIGO,1,8461.284
383491.2668,6285444.832,BP,TESTIGO,1,9054.198
383495.4663,6285444.892,BP,TESTIGO,1,8291.88
383499.6659,6285444.951,BP,TESTIGO,1,7180.7235
383503.8655,6285445.01,BP,TESTIGO,1,8446.7955
383012.574,6285433.864,AP,TESTIGO,2,9110.5209
383016.7736,6285433.923,AP,TESTIGO,2,7909.719
383020.9731,6285433.983,AP,TESTIGO,2,9604.36605
383025.1727,6285434.042,AP,TESTIGO,2,9021.382875
383029.3723,6285434.101,AP,TESTIGO,2,9946.5741
383033.5719,6285434.161,AP,TESTIGO,2,9596.16945
383037.7715,6285434.22,AP,TESTIGO,2,8889.2127
383041.971,6285434.28,AP,TESTIGO,2,8503.9725
383046.1706,6285434.339,AP,TESTIGO,2,8164.838175
383050.3702,6285434.398,AP,TESTIGO,2,10005.99945
383054.5698,6285434.458,AP,TESTIGO,2,8936.34315
383058.7694,6285434.517,AP,TESTIGO,2,8884.089825
383062.9689,6285434.576,AP,TESTIGO,2,11392.24943
383067.1685,6285434.636,AP,TESTIGO,2,9756.00315
383071.3681,6285434.695,AP,TESTIGO,2,10799.0205
383075.5677,6285434.755,AP,TESTIGO,2,8946.5889
383079.7673,6285434.814,AP,TESTIGO,2,7939.431675
383083.9668,6285434.873,AP,TESTIGO,2,10277.51183
383088.1664,6285434.933,AP,TESTIGO,2,9856.4115
383092.366,6285434.992,AP,TESTIGO,2,8277.19307
383096.5656,6285435.051,AP,TESTIGO,2,6303.1854
383100.7652,6285435.111,AP,TESTIGO,2,7443.537375
383104.9647,6285435.17,AP,TESTIGO,2,7935.333375
383109.1643,6285435.23,AP,TESTIGO,2,9241.6665
383113.3639,6285435.289,AP,TESTIGO,2,8865.647475
383117.5635,6285435.348,AP,TESTIGO,2,8747.82135
383121.7631,6285435.408,AP,TESTIGO,2,10340.0109
383125.9626,6285435.467,AP,TESTIGO,2,9430.1883
383130.1622,6285435.526,AP,TESTIGO,2,9227.32245
383134.3618,6285435.586,AP,TESTIGO,2,7256.04015
383138.5614,6285435.645,AP,TESTIGO,2,7925.087625
383142.761,6285435.705,AP,TESTIGO,2,8292.91005
383146.9605,6285435.764,AP,TESTIGO,2,9754.978575
383151.1601,6285435.823,AP,TESTIGO,2,7620.78885
383155.3597,6285435.883,AP,TESTIGO,2,12983.4144
383159.5593,6285435.942,AP,TESTIGO,2,10336.93718
383163.7589,6285436.001,AP,TESTIGO,2,9790.8387
383167.9584,6285436.061,AP,TESTIGO,2,9557.2356
383172.158,6285436.12,AP,TESTIGO,2,9987.5571
383176.3576,6285436.18,AP,TESTIGO,2,8655.6096
383180.5572,6285436.239,AP,TESTIGO,2,7592.10075
383184.7568,6285436.298,AP,TESTIGO,2,8508.0708
383188.9564,6285436.358,AP,TESTIGO,2,7253.991
383193.1559,6285436.417,AP,TESTIGO,2,8613.602025
383197.3555,6285436.476,AP,TESTIGO,2,8998.842225
383201.5551,6285436.536,AP,TESTIGO,2,10971.1491
383205.7547,6285436.595,AP,TESTIGO,2,10616.64615
383209.9543,6285436.655,AP,TESTIGO,2,10380.9939
383214.1538,6285436.714,AP,TESTIGO,2,8180.2068
383218.3534,6285436.773,AP,TESTIGO,2,8516.2674
383222.553,6285436.833,AP,TESTIGO,2,7803.1632
383226.7526,6285436.892,AP,TESTIGO,2,8767.288275
383230.9522,6285436.951,AP,TESTIGO,2,8196.6
383235.1517,6285437.011,AP,TESTIGO,2,11428.10955
383239.3513,6285437.07,AP,TESTIGO,2,10195.54583
383243.5509,6285437.13,AP,TESTIGO,2,8454.7929
